IM240_0,v,a,times,target
WVUSUB_0,54.125,0.123,0,2
WVUSUB_1,7.077,0.303,0.59,0
WVUSUB_2,26.545,0.007,0,1
WVUSUB_3,7.643,0.311,0.29,0
WVUSUB_4,3.628,0.068,0.31,0
WVUSUB_5,16.143,0.281,0.07,1
WVUSUB_6,10.139,0.305,0,0
WVUSUB_7,1.984,0.088,0.6,0
WVUSUB_8,20.168,0.229,0,1
WVUSUB_9,28.05,0.197,0.01,1
WVUSUB_10,31.806,0.163,0.05,1
WVUSUB_11,5.184,0.746,0.1,0
VAIL2NREL_0,13.61,0.056,0.27,1
VAIL2NREL_1,59.69,0.584,0,2
VAIL2NREL_2,63.92,0.037,0,2
VAIL2NREL_3,64.75,0.071,0,2
VAIL2NREL_4,64.62,0.003,0,2
VAIL2NREL_5,64.79,0.06,0,2
VAIL2NREL_6,59.54,0.042,0,2
VAIL2NREL_7,63.32,0.006,0,2
VAIL2NREL_8,65.35,0.039,0,3
VAIL2NREL_9,67.87,0.078,0,3
VAIL2NREL_10,63.35,0.082,0,2
VAIL2NREL_11,64.82,0.075,0,2
VAIL2NREL_12,65.21,0.013,0,3
VAIL2NREL_13,60.85,0.6,0,2
VAIL2NREL_14,3.98,0.065,0.12,0
VAIL2NREL_15,9.96,0.168,0.14,0
VAIL2NREL_16,19.35,0.355,0,1
VAIL2NREL_17,62.04,0.143,0,2
VAIL2NREL_18,68.33,0.022,0,3
VAIL2NREL_19,64.85,0,0,2
VAIL2NREL_20,66.22,0.004,0,3
VAIL2NREL_21,66.97,0.011,0,3
VAIL2NREL_22,61.21,0.089,0,2
VAIL2NREL_23,46.03,0.06,0,2
VAIL2NREL_24,61.8,0.033,0,2
VAIL2NREL_25,62.97,0.015,0,2
VAIL2NREL_26,64.45,0.043,0,2
VAIL2NREL_27,57.78,0.131,0,2
VAIL2NREL_28,11.06,0.489,0,0
NYB1,77.56,0.025,0,3
NYB2,89.26,0.014,0,3
NYB3,96.78,0.013,0.13,3
NYB4,98.15,0.131,0.05,3
NYB5,86.12,0.033,0.01,3
NYB6,102.45,0.015,0,3
NYB7,96.12,0.063,0,3
NYB8,100.56,0.115,0,3
NYB9,85.49,0.033,0,3
NYB10,79.45,0.015,0,3
NYB11,78.65,0.023,0.07,3
NYB12,83.19,0.146,0,3
NYB13,98.46,0.042,0,3
NYB14,95.46,0.021,0,3
NYB15,78.16,0.09,0,3
NYB16,89.16,0.127,0,3
NYB17,103.78,0.034,0,3
NYB18,94.26,0.017,0.04,3
NYB19,78.65,0.016,0.05,3
NYB20,88.42,0.128,0.01,3
NYB21,81.95,0.137,0,3
NYB22,72.45,0.04,0,3
NYB23,86.75,0.143,0,3
NYB24,78.26,0.09,0,3
NYB25,95.24,0.134,0.14,3
